chapter,program,comment_num,rank
第三篇章 星繁,周深翻唱《千与千寻》主题曲 空灵天籁好听到爆炸,8141,1.0
第三篇章 星繁,吴亦凡名场面开唱《大碗宽面》 古风混搭说唱帅炸全场,6215,2.0
第三篇章 星繁,泪燃！与五月天一起圆梦“干杯” 八零不哭，九零不老,4324,3.0
第三篇章 星繁,G.E.M.邓紫棋《光年之外》 开口跪引全场大合唱,4279,4.0
第三篇章 星繁,神仙打架！方锦龙&百人乐团 国乐大师炫技直击灵魂,4053,5.0
第三篇章 星繁,洛天依古筝首秀破次元合作方锦龙 带你穿越绝美四季,3380,6.0
第三篇章 星繁,理查德·克莱德曼敲响奇幻大门  魔法世界开启美哭了！,2497,7.0
第一篇章 日落,童年动漫燃曲泪奔回忆 哪一首是你心中的NO.1？,2003,8.0
第一篇章 日落,张光北高燃合唱《中国军魂》 二营长，你的意大利炮呢？,1866,9.0
第一篇章 日落,冯提莫甜美开嗓《佛系少女》 天籁之音尽显实力主播风采,1728,10.0
第一篇章 日落,《涅槃》原唱小姐姐CC动感来袭 激情唱响英雄联盟最强音,1701,11.0
第二篇章 月升,国风UP主霸屏来袭 《见·东方》开启绝美国风世界,1579,12.0
第一篇章 日落,GAI周延《哪吒》超燃主题曲 我命由我不由天,1317,13.0
第二篇章 月升,神龙霸屏！权力的游戏主题曲 Luka Šulić史诗级演奏超震撼,1261,14.0
第一篇章 日落,新裤子乐队搞怪飞吻粉丝 《生命因你而火热》high翻全场,1167,15.0
第二篇章 月升,张蔷引爆复古浪潮 《Let's Disco》自带电音忍不住抖腿,1119,16.0
第一篇章 日落,O-DOG舞团《魔兽世界》舞蹈秀 一起下副本的朋友你们在哪里,960,17.0
第二篇章 月升,胡彦斌再唱《我为歌狂》 主题曲 穿越18年满屏的回忆杀,898,18.0
第二篇章 月升,周笔畅《去流浪》开启冒险之旅 在幻境里一起尖叫吧,890,19.0
第二篇章 月升,南征北战NZBZ《镇魂街》主题曲 超燃超热血！百听不厌,827,20.0
第二篇章 月升,戴荃灵性开腔《大氿歌 》 黑衣少侠仙气十足!,745,21.0
第二篇章 月升,旧北乐队献唱《人生一串》片尾曲 悲伤再见吧，走撸串去！,269,22.0
